Katman,cbs_id,component_voltage,voltage_level,EDBS_IDATE,TESIS_TARIHI,EDBS_freq_pct,Kurulum_Tarihi,Ekipman_Tipi,Bakım Olanlar,Son Bakımdan İtibaren Süre,voltage_mapped,Equipment_Type,MARKA,MARKA_MODEL,FIRMA,kVa_rating
AYIRICI,81430041,15800,OG,2021-09-17,2019-10-15,0.002086811352253756,2019-10-15,Ayırıcı,,,15800,Ayırıcı,EVA,,,
AYIRICI,53140400,15800,OG,2017-12-22,,0.07481218697829717,2017-12-22,Ayırıcı,,,15800,Ayırıcı,,,,
AYIRICI,73542639,15800,OG,2020-07-23,2020-07-23,0.0003130217028380634,2020-07-23,Ayırıcı,,,15800,Ayırıcı,ORTAKLAR BİRLİK,,,
AYIRICI,101101732,15800,OG,2024-03-04,2017-01-01,0.0004173622704507513,2017-01-01,Ayırıcı,,,15800,Ayırıcı,EKOS,,,
AYIRICI,61302554,15800,OG,2018-11-25,2016-11-17,0.003756260434056761,2016-11-17,Ayırıcı,,,15800,Ayırıcı,,,,
AYIRICI,53139794,15800,OG,2017-12-22,,0.07481218697829717,2017-12-22,Ayırıcı,,,15800,Ayırıcı,,,,
AYIRICI,102951206,15800,OG,2025-06-25,2025-06-25,0.0001043405676126878,2025-06-25,Ayırıcı,,,15800,Ayırıcı,EMİ,HSA,,
AYIRICI,101101551,15800,OG,2024-03-04,2022-05-28,0.0004173622704507513,2022-05-28,Ayırıcı,,,15800,Ayırıcı,AYSAN,,,
AYIRICI,79434146,15800,OG,2021-06-17,2021-06-02,0.0001043405676126878,2021-06-02,Ayırıcı,,,15800,Ayırıcı,ORTAKLAR BİRLİK,HSTA,,
AYIRICI,91625938,15800,OG,2023-01-02,2023-01-02,0.0001043405676126878,2023-01-02,Ayırıcı,,,15800,Ayırıcı,ALKARSAN,HSTA,,
AYIRICI,81408624,15800,OG,2021-09-16,2019-10-25,0.000521702838063439,2019-10-25,Ayırıcı,,,15800,Ayırıcı,EVA,,,
AYIRICI,53139486,15800,OG,2017-12-22,,0.07481218697829717,2017-12-22,Ayırıcı,,,15800,Ayırıcı,,,,
AYIRICI,84001825,15800,OG,2022-01-12,2022-01-11,0.000521702838063439,2022-01-11,Ayırıcı,,,15800,Ayırıcı,ORTAKLAR BİRLİK,HSTA,,
AYIRICI,65904988,15800,OG,2019-04-17,,0.002921535893155259,2019-04-17,Ayırıcı,,,15800,Ayırıcı,,,,
AYIRICI,65935421,15800,OG,2019-04-29,,0.003964941569282137,2019-04-29,Ayırıcı,,,15800,Ayırıcı,,,,
AYIRICI,65904989,15800,OG,2019-04-17,,0.002921535893155259,2019-04-17,Ayırıcı,,,15800,Ayırıcı,,,,
AYIRICI,85835453,15800,OG,2022-04-12,2022-04-12,0.001043405676126878,2022-04-12,Ayırıcı,,,15800,Ayırıcı,ASTOR,,,
AYIRICI,78582678,15800,OG,2021-05-07,2021-05-07,0.0006260434056761269,2021-05-07,Ayırıcı,,,15800,Ayırıcı,ULUSOY,LBS,,
AYIRICI,100651587,15800,OG,2023-09-27,2023-09-27,0.001252086811352254,2023-09-27,Ayırıcı,,,15800,Ayırıcı,,,,
AYIRICI,102707142,15800,OG,2024-12-31,2024-12-31,0.0002086811352253756,2024-12-31,Ayırıcı,,,15800,Ayırıcı,EMİ,HSA,,
AYIRICI,81430042,15800,OG,2021-09-17,2019-10-15,0.002086811352253756,2019-10-15,Ayırıcı,,,15800,Ayırıcı,EVA,,,
AYIRICI,53140012,15800,OG,2017-12-22,,0.07481218697829717,2017-12-22,Ayırıcı,,,15800,Ayırıcı,,,,
AYIRICI,78938323,15800,OG,2021-05-25,2021-05-24,0.002608514190317195,2021-05-24,Ayırıcı,,,15800,Ayırıcı,ULUSOY,,,
AYIRICI,65914845,15800,OG,2019-04-19,,0.004590984974958264,2019-04-19,Ayırıcı,,,15800,Ayırıcı,YILDIZLAR,DNA,,
